Region and State;Total;Inter-governmental;total.1;elementary and secondary education;Higher education;Public Welfare;Health and Hospitals;Highways;Police;all other;Exhibit personal Income (millions);year
Illinois;16,58867;0,00063302;16,588037;3,9489127;1,4128784;3,1667003;0,74546438;1,4153743;0,77384836;5,1248587;672019,9;2016
Indiana;17,894275;0,00113519;17,89314;3,4402371;2,2208653;4,4065372;2,0903937;0,93435644;0,43267523;4,3680747;289731,4;2016
Michigan;18,604218;0,00180675;18,602411;3,8163956;2,6386283;3,810998;2,0263829;0,86308387;0,56489499;4,8820272;444166,8;2016
Ohio;19,603309;0,01000518;19,593303;4,4022675;1,8241927;5,4000548;1,5116484;1,1307244;0,69543777;4,6289778;526177,2;2016
Wisconsin;18,591767;0;18,591767;4,0340684;2,2910097;4,4586004;1,3423526;1,3816695;0,68947649;4,39459;274764,7;2016
Plains;18,781169;0,00847364;18,772695;4,1678986;2,0439921;3,8874533;1,796265;1,5978217;0,60309573;4,6761686;1022335,7;2016
Iowa;20,96977;0;20,96977;4,5173687;2,688483;4,2091984;2,7131124;1,7749203;0,53441564;4,5322717;145756,4;2016
Kansas;18,274369;0,00052412;18,273845;4,0945311;2,5077571;2,9043134;2,4267045;1,4426754;0,57171585;4,3261479;137945,1;2016
Minnesota;19,299431;0,00004946;19,299381;4,1717372;1,7336331;5,1977026;1,1213388;1,6971369;0,6509308;4,7269016;293162,5;2016
Missouri;17,043293;0,01569701;17,027596;3,8226649;1,4468805;3,3949276;2,2499121;0,8704643;0,66706009;4,5756867;269771,2;2016
Nebraska;18,189481;0,04591872;18,143563;4,7917491;2,5719178;2,6995404;1,2636706;1,6776583;0,52164362;4,6173828;94547,5;2016
North Dakota;24,262152;0;24,262152;4,7908577;3,1201156;3,9180902;0,59119272;4,6045545;0,50065466;6,7366868;39104;2016
South Dakota;16,626914;0;16,626914;3,4032724;2,0953982;2,6648886;0,66325953;2,4912887;0,47864634;4,8301601;42049;2016
Southeast;17,495511;0,00001707;17,495493;3,5885887;1,7197379;3,570456;2,086457;1,1209804;0,67296439;4,736309;3632818,8;2016
Alabama;20,899723;0;20,899723;4,0048611;2,5386529;4,370868;3,5263792;1,2559669;0,64985628;4,5531389;192281,9;2016
Arkansas;19,708118;0,00016149;19,707957;4,2139229;2,2455059;5,7266237;1,1922389;1,4553443;0,563485;4,3108361;120748,2;2016
Florida;15,310293;0;15,310293;2,8811691;1,1370285;2,7841011;1,4679759;1,0866086;0,82863587;5,124774;949718;2016
Georgia;15,546204;0;15,546204;4,2807467;1,2947062;2,6652612;1,5851959;0,93566837;0,6035761;4,1810491;441905,5;2016
Kentucky;22,057254;0;22,057254;4,0387015;2,480087;6,353169;1,8511254;1,5680757;0,43188118;5,3342147;176435,1;2016
Louisiana;20,415194;0;20,415194;3,9857021;1,771378;4,5051761;1,7433567;1,2032777;0,80375568;6,4025479;198952;2016
Mississippi;24,233744;0;24,233744;4,2981833;2,9756945;5,7986088;4,0037116;1,5675709;0,71013678;4,8798378;106585,1;2016
North Carolina;18,12936;0;18,12936;3,2682885;2,2283264;3,2841576;3,4982805;0,99662342;0,70346927;4,150214;434789;2016
South Carolina;20,261607;0;20,261607;4,2814062;2,0719329;3,7693185;3,8835471;0,91703291;0,61523883;4,7231305;201138,8;2016
Tennessee;15,536071;0;15,536071;3,2166378;1,2778058;4,0319267;1,5646432;0,7684827;0,62445609;4,0521187;289936;2016
Virginia;15,755888;0,00009394;15,755794;3,6311806;1,7629088;2,5462127;1,6149958;1,233469;0,52350848;4,4435185;452400,5;2016
West Virginia;23,888206;0;23,888206;4,5434227;2,5827875;6,9887294;1,1251459;1,8828242;0,5707985;6,1944981;67928,7;2016
Southwest;17,23311;0,00220633;17,230904;3,898662;2,2394662;3,5122912;1,628658;1,100618;0,64575104;4,2054571;1807841,3;2016
Arizona;16,191051;0;16,191051;2,7685923;2,1060179;4,5685042;0,66387982;0,86341704;0,80055636;4,420083;283199,3;2016
New Mexico;26,820422;0;26,820422;4,4817247;3,1564516;7,690772;2,7068697;1,1967217;0,84195206;6,7459305;81626,5;2016
Oklahoma;17,850594;0,02425281;17,826341;3,589229;2,4544421;4,0499144;1,3484301;1,5777109;0,62394916;4,182665;164463,4;2016
Texas;16,772415;0;16,772415;4,1515512;2,182829;2,9424177;1,8095666;1,0856528;0,60174005;3,9986581;1278552,1;2016
Rocky Mountain;17,716203;0,00446782;17,711735;3,5602195;2,3600617;3,0735543;1,555435;1,2462499;0,61086921;5,3053455;565286,8;2016
Colorado;16,304798;0,00164482;16,303153;3,2365896;2,0622473;2,939328;1,1003156;1,0252434;0,6293589;5,3100706;290669,6;2016
Idaho;16,131152;0;16,131152;2,9988791;1,6223955;3,5760047;1,4139379;1,2336362;0,63118256;4,6551157;68248,4;2016
Montana;19,000659;0;19,000659;4,0137422;2,0497616;3,8640777;1,1154389;1,8941197;0,64237874;5,4211403;45822,5;2016
Utah;18,571929;0;18,571929;3,73677;3,4151152;2,9216838;1,932223;1,2079284;0,51604492;4,8421637;128900,6;2016
Wyoming;28,75306;0,06470073;28,688359;6,3675823;2,8382245;2,696774;5,1432801;2,5214105;0,73784748;8,3832401;31645,7;2016
Far West [2];19,373173;0,09394456;19,279228;3,488395;1,7791881;4,6292416;2,0784439;0,83873421;0,73743142;5,7277938;3003467,1;2016
California;19,691965;0,1236621;19,568303;3,4539487;1,7559228;4,9889372;2,1059652;0,75387286;0,77226417;5,737392;2273557,5;2016
Nevada;15,330715;0,00421872;15,326497;3,1931731;1,0648551;2,6974085;0,98523221;1,3077391;0,89242187;5,1856668;132315;2016
Oregon;22,852831;0;22,852831;3,7501976;2,628536;5,3868775;2,1863765;1,098322;0,6904393;7,1120817;190534,2;2016
Washington;17,277884;0,00110131;17,276783;3,6542073;1,7437682;2,8935443;2,2295573;1,0387547;0,51449588;5,202455;407060,4;2016
Alaska;32,679945;0;32,679945;5,6690669;2,6181466;5,3631329;1,6925424;3,8091895;0,88193726;12,645929;41745,6;2016
Hawaii;18,766729;0,00052294;18,766206;2,9053526;1,5198856;3,8895918;1,5992279;0,99913482;0,62676459;7,2262485;73048;2016
United States ;0,18096737;0,00020424;0,18076313;0,03880644;0,01742906;0,03903394;0,0166702;0,01088517;0,00666832;0,05126999;15717140;2015
New England;16,168688;0,00221814;16,16647;3,7921231;1,2749618;3,7119555;0,70788182;1,0124646;0,54952941;5,1175534;891919,5;2015
Connecticut;13,701611;0;13,701611;3,7405196;1,2731137;1,5297345;0,93286482;0,96066897;0,47813402;4,7865754;245244;2015
Maine;18,742402;0;18,742402;4,0889151;1,3600613;5,2732811;0,74684942;1,5377154;0,45785944;5,2777201;57941,8;2015
Massachusetts;16,675048;0,00035582;16,674693;3,5838102;1,1916174;4,5622012;0,63717901;0,91555405;0,56133967;5,2229911;432237,4;2015
New Hampshire;13,974243;0;13,974243;3,9181665;1,2378408;2,5830465;0,24286585;0,99193686;0,55008453;4,4503024;72874,8;2015
Rhode Island;19,854182;0,03459666;19,819586;4,4472271;1,2270683;5,5529416;0,53104711;0,84181595;0,79406779;6,4254179;52739,2;2015
Vermont;22,728812;0;22,728812;5,1444938;2,465872;5,7318658;1,237016;2,134556;0,70427073;5,3107379;30882,3;2015
Mideast;19,482116;0,00537667;19,476739;4,8167918;1,3523327;4,3599121;1,4003425;1,0835157;0,72378157;5,7400629;2788694,8;2015
Delaware;21,042864;0,00202671;21,040837;4,1645264;2,8387172;5,0459594;1,2253255;1,0355604;0,79788434;5,9328641;45196,4;2015
District of Columbia;24,308324;0;24,308324;4,9961266;0,34965152;6,9923887;1,4714581;0,92197372;1,1472247;8,4295007;50963,6;2015
Maryland;16,992996;0;16,992996;3,7325741;1,7423937;3,6153524;0,66256735;1,0059633;0,7542212;5,4799237;341389,9;2015
New Jersey;16,726983;0,0035036;16,723479;4,8481831;1,1827671;3,0068521;1,0341419;0,93408191;0,62659515;5,090858;542298,8;2015
New York;22,146881;0;22,146881;5,474641;1,1786259;5,1829096;1,837026;0,94622889;0,82183052;6,7056195;1164400,3;2015
Pennsylvania;17,813257;0,02017594;17,793081;4,2076764;1,5772974;4,1496261;1,3169696;1,5145378;0,57359781;4,4533764;644445,8;2015
Great Lakes;18,223636;0,0016967;18,22194;3,9700687;1,9411873;4,0644098;1,4183845;1,1819238;0,64124059;5,0047249;2164967,6;2015
Illinois;17,349754;0,00142121;17,348333;3,9564945;1,4527657;3,3416732;0,73153575;1,3321184;0,75277859;5,7809665;665490,1;2015
Indiana;17,403984;0,00116694;17,402817;3,4647766;2,079889;4,1119232;2,0148041;0,97010734;0,42624069;4,3350758;281848,5;2015
Michigan;18,476485;0,00255277;18,473932;3,8745553;2,5539489;3,7930719;1,978472;0,84510549;0,56375822;4,86502;431805,5;2015
Ohio;19,233111;0,00251284;19,230598;4,316671;1,8314283;5,0748919;1,5193924;1,137088;0,66276305;4,6883634;515871,4;2015
Wisconsin;18,900191;0;18,900191;4,0215234;2,230033;4,2995213;1,3999928;1,6572548;0,67355912;4,6183067;269952,1;2015
Plains;18,197571;0,01311482;18,184456;4,0563139;1,9696505;3,6949777;1,7335551;1,5296491;0,58870732;4,6116026;1009285,9;2015
Iowa;20,684861;0;20,684861;4,4300038;2,7300296;4,0408814;2,6499098;1,8390745;0,51567613;4,4792856;144493,6;2015
Kansas;17,743498;0,02542964;17,718068;4,1070779;2,3957975;2,7997716;2,1249031;1,3855173;0,57104643;4,3339544;137721,2;2015
Minnesota;18,192489;0,00008432;18,192405;3,9768341;1,6347798;4,7265424;1,0865005;1,5343984;0,64122409;4,5921255;287012,3;2015
Missouri;17,131205;0,02049024;17,110715;3,8714256;1,5069764;3,4032031;2,1970856;0,91810737;0,65581312;4,5581033;262012,6;2015
Nebraska;17,275906;0,04525436;17,230652;4,3591976;2,287833;2,6686576;1,4175076;1,5114405;0,48461727;4,5013983;95935,5;2015
North Dakota;22,244615;0;22,244615;4,252854;2,7219561;3,5566798;0,57065368;4,1687321;0,47151949;6,50222;40540;2015
South Dakota;15,992925;0;15,992925;3,4126536;1,6751077;2,6786847;0,66120609;2,2216513;0,47001855;4,8736033;41570,7;2015
Southeast;17,518401;0,00005781;17,518343;3,6104965;1,7060589;3,605387;2,0096953;1,0952023;0,67097922;4,8205243;3528554;2015
Alabama;21,343173;0;21,343173;3,9726794;2,5771294;4,3167233;3,268484;1,2651991;0,65668317;5,2862747;188711,4;2015
Arkansas;19,673957;0,00011218;19,673845;4,2672144;2,1770841;5,6014687;1,1884079;1,4548031;0,57575052;4,4091159;117671,8;2015
Florida;15,600034;0;15,600034;2,9121307;1,1263033;2,9465076;1,4886053;1,1438119;0,82299205;5,1596835;914928,4;2015
Georgia;15,540959;0;15,540959;4,2881181;1,2656835;2,7585338;1,6582861;0,74920752;0,59878909;4,2223409;425498,4;2015
Kentucky;21,636971;0;21,636971;3,9504691;2,3000032;6,2753727;1,7193586;1,6815208;0,44468454;5,265562;173495,8;2015
Louisiana;19,835845;0;19,835845;3,9502969;1,536794;4,2365281;1,7765257;1,141514;0,7637293;6,4304566;200110,3;2015
Mississippi;23,842135;0;23,842135;4,2367708;2,7035947;5,557331;3,8434894;1,5341047;0,69321574;5,2736286;105212,7;2015
North Carolina;18,058346;0;18,058346;3,3048432;2,2933293;3,4740919;3,1017308;0,98619595;0,71337929;4,1847758;419717,4;2015
South Carolina;20,260063;0;20,260063;4,2636671;2,0972452;3,9505682;3,7495517;0,81877401;0,59618079;4,7840758;192966,8;2015
Tennessee;15,660604;0;15,660604;3,2733258;1,3929676;3,8613679;1,5011222;0,78717888;0,64388379;4,200758;280955,2;2015
Virginia;15,638727;0,00043264;15,638294;3,702575;1,7972499;2,4676614;1,5666187;1,1441115;0,52728253;4,4327949;441016,7;2015
West Virginia;22,978506;0;22,978506;4,6138604;2,4333586;6,7910021;1,0382677;1,6114772;0,5468184;5,9437212;68269,1;2015
Southwest;16,459479;0,00289351;16,456586;3,750874;2,1768476;3,2172376;1,5848427;1,0279101;0,61485587;4,0840181;1802899,6;2015
Arizona;15,294025;0;15,294025;2,8506905;2,0309694;3,7275347;0,68514366;0,82404906;0,77905758;4,39658;271258;2015
New Mexico;26,956125;0;26,956125;4,7170457;3,2031945;7,2419047;2,7437501;1,3460594;0,84587637;6,8582943;80061,7;2015
Oklahoma;16,641227;0,03019446;16,611032;3,4268215;2,0722978;3,8636315;1,235546;1,5031646;0,57123657;3,9383342;172770,1;2015
Texas;16,024981;0;16,024981;3,9251104;2,15766;2,7696954;1,7503203;0,98702645;0,5714555;3,863713;1278809,8;2015
Rocky Mountain;17,409663;0,00391547;17,405747;3,4797252;2,1848833;2,9857073;1,4778826;1,2938533;0,61986828;5,3638274;550687,8;2015
Colorado;15,82253;0,00059652;15,821934;3,1871076;1,8889708;2,798035;1,0499495;1,0329226;0,62463187;5,2403163;284819,6;2015
Idaho;17,135247;0;17,135247;3,0114291;1,5928865;3,8811541;1,5636295;1,3447949;0,61589534;5,1254579;65683,4;2015
Montana;18,367995;0;18,367995;3,9292999;1,9169946;3,3765518;1,0956911;2,007752;0,71191229;5,3297928;44956,1;2015
Utah;18,497803;0;18,497803;3,6219381;3,2397394;2,9376208;1,7170517;1,2990773;0,56377112;5,1186045;121954,1;2015
Wyoming;26,253797;0,05969418;26,194103;5,7802167;2,3821894;2,4727119;4,6113762;2,4431068;0,66817933;7,8363226;33274,6;2015
Far West [2];18,83163;0,09748156;18,734148;3,3508544;1,727106;4,4366753;2,0543367;0,84460497;0,72792291;5,5926478;2867248,8;2015
California;19,023373;0,12825451;18,895119;3,3160099;1,7120536;4,7111058;2,0857037;0,76223525;0,76096439;5,547046;2172930,2;2015
Nevada;15,40942;0,0017647;15,407655;3,2436614;1,155294;2,6456448;1,0042748;1,1146428;0,8845394;5,3595982;127046,8;2015
Oregon;22,45527;0;22,45527;3,6669962;2,3598317;5,4740609;2,0598312;1,1348729;0,67048526;7,0891921;181367;2015
Washington;17,175591;0,00153302;17,174058;3,4337653;1,7027451;2,9935183;2,2208337;1,0830866;0,51730841;5,2228005;385904,8;2015
Alaska;34,828741;0;34,828741;6,2371159;2,0355175;4,7361019;1,7140555;3,7492201;0,92942375;15,427306;42505,8;2015
Hawaii;18,555614;0,0005428;18,555071;2,8045362;1,5379034;3,7462253;1,6802143;0,99179694;0,64802874;7,1463662;70376,2;2015
United States ;0,18174421;0,00021373;0,18153049;0,0391895;0,01791528;0,03636648;0,01718685;0,01101608;0,00679041;0,05306589;14982715;2014
New England;16,818697;0,00217405;16,816523;3,8788795;1,2856117;4,0329795;0,68419571;0,99961205;0,58281592;5,3524292;851132,2;2014
Connecticut;14,986733;0;14,986733;3,7176051;1,2172145;2,8628282;0,90708495;0,94991529;0,47572668;4,856358;239001,1;2014
Maine;20,395222;0;20,395222;4,1250889;1,4511177;6,3227457;0,87383109;1,5430171;0,4722372;5,6071842;55650;2014
Massachusetts;17,164613;0,00004094;17,164572;3,755713;1,2220582;4,4756246;0,58416141;0,86645151;0,63115062;5,6294128;405505,9;2014
New Hampshire;13,889386;0;13,889386;3,9284059;1,2157049;2,1940019;0,23190141;1,1171518;0,5679579;4,6342618;70225,1;2014
Rhode Island;19,374038;0,0360535;19,337984;4,5028065;1,2791109;4,9887325;0,55704998;0,93512808;0,77937924;6,2957771;50863,3;2014
Vermont;22,649879;0;22,649879;5,2030395;2,5620207;5,8155841;1,1850851;2,0254862;0,68967571;5,1689876;29886,8;2014
Mideast;19,716368;0,00604328;19,710325;4,8758383;1,4351366;4,196855;1,4689418;1,0592632;0,7389552;5,9353348;2670802,9;2014
Delaware;21,927157;0,00233863;21,924819;4,4494559;2,860181;4,8786732;1,3120035;1,1605916;0,800097;6,4638165;42888,3;2014
District of Columbia;24,943425;0;24,943425;5,1395608;0,31959365;6,9059537;1,3758742;0,84821106;1,2793987;9,0748333;47259,7;2014
Maryland;16,960512;0;16,960512;3,8516169;1,8751357;3,4096904;0,68171969;0,95029048;0,74326795;5,448791;325837;2014
New Jersey;17,017103;0,00365329;17,01345;5,0192234;1,172697;2,7276168;1,1749515;0,99495;0,66043966;5,2635717;520079;2014
New York;22,424248;0;22,424248;5,4793455;1,3426967;4,9113852;1,9194276;0,94549666;0,84155914;6,9843376;1115351,8;2014
Pennsylvania;18,004524;0,02282918;17,981694;4,2168938;1,5769327;4,3040278;1,3366872;1,3845419;0,57238099;4,5902299;619387,1;2014
Great Lakes;18,324884;0,00192697;18,322957;4,0525299;2,0192461;3,8220297;1,4618096;1,1353423;0,6554547;5,1765451;2071441,7;2014
Illinois;17,366003;0,00122097;17,364782;4,0638481;1,478878;3,2215882;0,67920223;1,2211453;0,77427112;5,9258494;637280;2014
Indiana;17,707019;0,00134989;17,705669;3,5511051;2,1433703;3,9520296;2,2478743;0,92078733;0,44335365;4,4471487;270985,7;2014
Michigan;18,687359;0,0031007;18,684259;3,9996584;2,6958111;3,3987247;2,0788955;0,84618353;0,58683659;5,0781486;408617,5;2014
Ohio;19,142197;0,00318645;19,139011;4,3301119;1,9060123;4,6199991;1,5738239;1,0874247;0,66104783;4,960591;496069,1;2014
Wisconsin;19,195138;0;19,195138;4,1011604;2,3691459;4,3038411;1,3767338;1,6977892;0,68261639;4,6638508;258489,4;2014
Plains;18,069987;0,0112138;18,058773;4,0016132;1,9513717;3,6046077;1,7338775;1,5123313;0,58639793;4,6685738;975636,8;2014
Iowa;20,414554;0;20,414554;4,4375682;2,718624;3,7295793;2,6713251;1,7446457;0,52138822;4,5914232;139303,3;2014
Kansas;17,484576;0,00093546;17,483641;3,9994514;2,262245;2,6905371;2,2151499;1,3100123;0,55619709;4,4500481;135975,9;2014
Minnesota;18,409799;0,000006205;18,409793;3,9204068;1,7070086;4,7139618;1,1508947;1,538181;0,63535852;4,7439818;273960,6;2014
Missouri;17,172932;0,02531269;17,14762;3,9245434;1,4865798;3,3976378;2,073829;0,95918492;0,67512557;4,6307192;252999,6;2014
Nebraska;16,921536;0,04790922;16,873627;4,254981;2,2231568;2,8440309;1,3906869;1,3968087;0,48247481;4,2814878;91999;2014
North Dakota;19,678206;0;19,678206;3,6652451;2,4429517;2,7770564;0,51871349;4,0426454;0,3970698;5,8345237;41526,2;2014
South Dakota;16,20724;0;16,20724;3,298579;1,6997808;2,5929746;0,72340127;2,3541716;0,45408079;5,0842517;39872,2;2014
Southeast;17,853494;0,00002946;17,853465;3,7006871;1,7510781;3,5050133;2,0863895;1,1233109;0,67660584;5,0103801;3353410,3;2014
Alabama;21,961886;0;21,961886;4,1713648;2,6079325;4,3522216;3,3733684;1,2648288;0,6477989;5,5443708;180457,7;2014
Arkansas;19,285367;0,00011449;19,285252;4,2954032;2,3245131;4,9136505;1,1672995;1,4558005;0,56848928;4,5600962;113545,5;2014
Florida;16,073161;0;16,073161;3,01062;1,1603716;2,9632733;1,5306545;1,1703507;0,84594968;5,3919412;856161,8;2014
Georgia;16,339727;0;16,339727;4,3447104;1,5285876;2,8179234;1,7077623;0,85668016;0,59975652;4,4843062;400696,1;2014
Kentucky;20,488302;0;20,488302;4,0549047;2,241506;5,005683;1,6502076;1,6459416;0,48334897;5,4067102;165914,7;2014
Louisiana;20,291142;0;20,291142;3,8873558;1,5493848;4,0923122;2,4076432;1,0912387;0,716777;6,5464303;198233,9;2014
Mississippi;23,313625;0;23,313625;4,2629028;2,6574124;5,2669653;3,8331752;1,5362131;0,67100923;5,0859465;103310,8;2014
North Carolina;18,663133;0;18,663133;3,3446047;2,3296136;3,4384624;3,283638;1,0514583;0,7085139;4,5068423;397996;2014
South Carolina;20,391867;0;20,391867;4,3622425;2,0876825;3,7584546;3,8107317;0,83755016;0,60773207;4,9274731;181483,1;2014
Tennessee;16,138365;0;16,138365;3,4509279;1,4146706;3,8675916;1,5111343;0,8916022;0,66850437;4,3339339;266873,5;2014
Virginia;15,806574;0,00020338;15,806371;3,8081952;1,7287014;2,6186882;1,5087818;1,0663545;0,53076964;4,5448803;421873,6;2014
West Virginia;22,052073;0;22,052073;4,7384347;2,4690953;5,5466861;1,1233736;1,8200261;0,54870064;5,8057568;66863,6;2014
Southwest;16,272905;0,00315327;16,269752;3,6857022;2,1648408;2,9840613;1,6651849;1,0256731;0,60744731;4,1368421;1760489,8;2014
Arizona;16,875841;0;16,875841;3,0961049;1,9675223;3,4603551;1,5400062;0,79473401;0,79362256;5,223496;257410,4;2014
New Mexico;23,939794;0;23,939794;4,511338;3,0873043;5,5408681;2,2909685;1,3780554;0,87111499;6,2601444;77747,6;2014
Oklahoma;16,274209;0,03143042;16,242779;3,3561908;2,0268285;3,7864653;1,3015289;1,3626974;0,56170781;3,8473604;176621,9;2014
Texas;15,671072;0;15,671072;3,8024436;2,1676025;2,61319;1,7034635;1,0036691;0,55912194;3,8215817;1248709,9;2014
Rocky Mountain;17,666793;0,00430756;17,662485;3,543106;2,1728195;2,8667257;1,7057982;1,2561511;0,65508957;5,462795;522128,6;2014
Colorado;16,083929;0,00130332;16,082625;3,2392112;1,8637797;2,4910992;1,5141163;1,0167139;0,64958138;5,3081238;271307,5;2014
Idaho;17,880173;0;17,880173;3,1696403;1,653019;4,004443;1,6136464;1,4278951;0,66668446;5,3448444;61827,3;2014
Montana;18,883611;0;18,883611;4,0193192;1,9474677;3,4406703;1,1238536;2,0690979;0,72524318;5,5579588;42817,5;2014
Utah;18,806243;0;18,806243;3,7743088;3,2348072;3,0381277;1,6848089;1,1240338;0,63556769;5,3145892;113140,9;2014
Wyoming;24,787352;0,05737784;24,729975;5,3287837;2,3386246;2,4913971;4,2786254;2,2999449;0,65455844;7,3380404;33035,4;2014
Far West [2];18,43404;0,10464022;18,329399;3,3275954;1,7994819;3,5324787;2,0653911;0,94909808;0,75352461;5,9018296;2669716,4;2014
California;18,519689;0,13783602;18,381853;3,2788692;1,7857511;3,6692887;2,0835729;0,88401812;0,78695492;5,8933976;2021035,6;2014
Nevada;15,394621;0,00352729;15,391094;3,3991174;1,1256331;2,0252802;1,1127365;1,0576834;0,95275655;5,7178869;116945,3;2014
Oregon;22,711714;0;22,711714;3,6479537;2,5849089;4,6928237;2,2955671;1,2492702;0,70168305;7,5395074;168408,8;2014
Washington;16,953136;0,00103406;16,952102;3,4271263;1,7286946;2,7187471;2,1641963;1,1370246;0,5274677;5,2488455;363326,7;2014
Alaska;35,080328;0;35,080328;6,0593208;2,2612551;4,9468894;1,5834752;3,9164104;0,90440132;15,408575;41110,4;2014
Hawaii;20,068441;0,00057745;20,067863;3,1805446;1,6958746;4,0892468;1,9068712;1,1160023;0,67491148;7,4044125;66846,1;2014
United States ;0,18566856;0,00022528;0,18544327;0,04020359;0,01833829;0,03633373;0,01725015;0,01130543;0,00695575;0,05505634;14175503;2013
New England;16,816351;0,00307056;16,81328;3,9606963;1,3101652;3,8731984;0,69808987;0,97746198;0,5621982;5,4314701;811872,4;2013
Connecticut;14,837664;0;14,837664;3,7859245;1,1423552;2,7213687;0,90475997;0,9445136;0,49052926;4,848213;228472,2;2013
Maine;20,548895;0;20,548895;4,1948701;1,4840429;5,711905;0,92323366;1,7226012;0,48131735;6,0309244;53346,3;2013
Massachusetts;17,162095;0,00174588;17,160349;3,8371713;1,2904824;4,3681224;0,61278064;0,7895839;0,58442569;5,6777825;385192;2013
New Hampshire;14,338143;0;14,338143;3,993733;1,2574717;2,1929697;0,23089732;1,1830292;0,54273296;4,9373088;67320,4;2013
Rhode Island;19,205127;0,03732424;19,167803;4,6630424;1,353227;4,60005;0,56762609;0,91910827;0,75726125;6,3074882;48772,6;2013
Vermont;22,729218;0;22,729218;5,3003278;2,6342683;5,6840199;1,0959543;1,9908373;0,69859119;5,3252192;28768,9;2013
Mideast;20,006215;0,00582857;20,000387;4,9347179;1,4093159;4,3749402;1,4824544;1,0885032;0,75326373;5,9571916;2558399,7;2013
Delaware;22,427307;0,00233458;22,424972;4,5114983;3,0580935;4,7102651;1,3389321;1,3949279;0,79919901;6,6120563;40949,5;2013
District of Columbia;26,152825;0;26,152825;5,3569447;0,35915337;7,2238284;1,541707;1,4430472;1,2667462;8,9613978;44189,2;2013
Maryland;16,689504;0;16,689504;3,8527842;1,7818529;3,2737908;0,70192222;0,90537991;0,73812388;5,4356498;314267,3;2013
New Jersey;17,127826;0,00382706;17,123999;5,0167309;1,1965279;2,7597654;1,1436567;1,0186213;0,69342318;5,2952737;496464,8;2013
New York;22,849173;0;22,849173;5,5199299;1,2632836;5,4037239;1,951021;0,9213715;0,87040372;6,9194393;1069556,2;2013
Pennsylvania;18,420803;0,02178212;18,399021;4,3816661;1,6178322;4,2197378;1,3401162;1,497941;0,55866366;4,7830642;592972,7;2013
Great Lakes;18,604475;0,00296814;18,601506;4,1750735;2,0758968;3,7904148;1,4644552;1,1370752;0,68621592;5,272375;1981816,6;2013
Illinois;17,776677;0,00145029;17,775227;4,1154229;1,510429;3,3228574;0,74122676;1,1990688;0,79761085;6,0886114;607671,4;2013
Indiana;17,855142;0,00952753;17,845615;3,6862994;2,2597418;4,1697114;1,8098654;0,97497162;0,44955695;4,4954682;260424,4;2013
Michigan;19,15482;0,00348873;19,151331;4,2147531;2,6860733;3,3986884;2,2010714;0,87126541;0,65019425;5,1292853;390199,7;2013
Ohio;19,386418;0,00243497;19,383983;4,5078507;2,0499748;4,4485542;1,607585;1,0727481;0,6807499;5,0165204;475776,2;2013
Wisconsin;19,054125;0;19,054125;4,133604;2,3583783;3,8915982;1,4402642;1,6976047;0,72898776;4,8036876;247744,9;2013
Plains;18,17479;0,01207603;18,162714;4,0261934;2,0060403;3,5024001;1,7762018;1,4920631;0,59217014;4,7676455;934446,3;2013
Iowa;20,29977;0;20,29977;4,4335377;2,6419831;3,6045737;2,6370762;1,64017;0,5140131;4,8284159;134463,5;2013
Kansas;16,987165;0,00131675;16,985848;3,8698573;2,2963266;2,3763072;2,2047908;1,294667;0,59873844;4,3451608;132978,6;2013
Minnesota;18,377211;0;18,377211;3,9864803;1,7909612;4,5543547;1,1824347;1,4768803;0,63798221;4,7481171;259538,9;2013
Missouri;17,819108;0,02793143;17,791177;3,9522436;1,5776013;3,4281109;2,1727216;1,0630703;0,67077767;4,9266515;243582,2;2013
Nebraska;17,399606;0,04953983;17,350066;4,3853929;2,3182391;2,8642404;1,460359;1,5133989;0,48841094;4,3200248;86913,9;2013
North Dakota;19,133081;0;19,133081;3,705388;2,5242122;2,6928946;0,55271149;3,4358064;0,40365563;5,8184125;38860,6;2013
South Dakota;16,506741;0;16,506741;3,3854878;1,7120807;2,662769;0,72047779;2,4729589;0,45945272;5,0935143;38108,6;2013
Southeast;18,510291;0,00004492;18,510246;3,8308471;1,8552934;3,5369663;2,1113468;1,107574;0,7048286;5,36339;3170413,2;2013
Alabama;22,637463;0;22,637463;4,2707055;2,8537314;4,4321522;3,463357;1,3430637;0,66698296;5,6074699;174415,4;2013
Arkansas;19,59479;0,00010444;19,594686;4,5785425;2,4311283;4,7645474;1,1944737;1,4370738;0,59709234;4,5918275;107240,7;2013
Florida;16,779374;0;16,779374;3,0995875;1,1983243;2,9876099;1,586005;1,0291542;0,89983719;5,9788556;795425;2013
Georgia;17,313388;0;17,313388;4,5515294;1,6817446;2,9125171;1,7751655;0,87349435;0,62994767;4,8889899;374489,2;2013
Kentucky;20,517218;0;20,517218;4,3429481;2,3908035;4,4418709;1,6553555;1,5930195;0,49800529;5,5952152;158218,4;2013
Louisiana;21,508239;0;21,508239;3,9871182;1,6063877;3,86487;2,6711636;1,3208823;0,78884349;7,268974;189197,1;2013
Mississippi;23,594896;0;23,594896;4,2592986;2,542824;5,3608258;3,9421409;1,6237932;0,66572277;5,200291;101176,8;2013
North Carolina;19,796208;0;19,796208;3,5694436;2,4608678;3,7474461;3,0848342;1,0821637;0,7293672;5,1220853;376023,9;2013
